#chrom	blockRange		AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	Other	Ncount				
1	1	500418	498	426	153	493	144	109	1078	868	837	312	228	247	50
1	500418	1000747	778	164	65	812	43	59	1491	1601	1579	606	253	442	278
1	1000747	1500026	713	164	103	783	23	56	1251	1232	1203	375	240	372	216
1	1500026	2000645	905	197	88	823	32	206	1075	975	927	333	183	246	165
1	2000645	2500026	764	248	185	791	27	92	1127	899	857	272	268	229	88
1	2500026	3000171	806	297	51	794	114	135	1367	1088	1047	356	194	353	144
1	3000171	3500257	734	286	64	669	74	107	1265	1109	1076	413	245	275	143
1	3500257	4000045	663	268	74	605	55	67	1112	856	833	285	249	211	88
1	4000045	4500013	729	387	54	804	137	92	1071	988	956	275	263	293	125
1	4500013	5000059	631	198	74	723	30	59	1276	1045	1024	351	274	310	89
1	5000059	5500001	721	428	112	813	95	108	1072	1175	1136	431	269	307	129
1	5500001	6000065	846	308	101	741	84	201	984	1106	1062	402	303	295	62
1	6000065	6500165	876	388	109	797	103	172	1154	1253	1191	466	366	289	70
1	6500165	7000373	780	418	110	811	128	144	1200	1411	1350	497	417	383	53
1	7000373	7500007	871	412	123	791	110	173	1151	1451	1388	485	414	388	101
1	7500007	8000156	887	388	135	837	153	181	1220	1335	1265	375	373	381	136
1	8000156	8500000	764	368	80	792	87	106	1082	1357	1312	477	365	400	70
1	8500000	9000296	890	484	179	882	165	179	1011	1272	1190	496	300	331	63
1	9000296	9500063	936	459	94	878	183	135	1118	1548	1472	585	439	367	81
1	9500063	10000093	871	433	135	872	149	203	1134	1522	1457	503	398	467	89
1	10000093	10500164	864	501	139	857	159	199	1281	1446	1379	480	440	381	78
1	10500164	11000006	934	417	163	990	137	178	1112	1803	1728	593	532	479	124
1	11000006	11500014	887	469	181	861	128	176	1309	1472	1410	517	405	372	116
1	11500014	12000027	864	531	125	915	205	153	1203	1275	1220	434	409	312	65
1	12000027	12500193	1043	389	138	872	192	230	1126	1458	1394	487	434	409	64
1	12500193	13000143	873	523	159	868	93	183	1180	1366	1295	491	399	350	55
1	13000143	13500014	883	475	128	765	109	235	1122	1252	1191	447	359	300	85
1	13500014	14000035	864	378	136	950	113	125	996	1199	1151	408	271	349	123
1	14000035	14500103	808	340	97	802	66	182	924	1226	1176	401	316	328	131
1	14500103	15000027	823	328	72	722	68	260	671	1312	1250	415	361	368	106
1	15000027	15500216	947	398	90	852	86	269	982	1133	1067	387	286	301	93
1	15500216	16000283	960	456	90	843	111	219	930	1186	1121	403	386	283	49
