chrom	blockRange	AAAAA	AAABA	AABAA	AABBA	ABAAA	ABABA	ABBAA	ABBBA	BAAAA	BAABA	BABAA	BABBA	BBAAA	BBABA	BBBAA	BBBBA
1	110-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	110-500101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	500101-1000300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	1000300-1500026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	1500026-2000559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	2000559-2500024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	2500024-3000178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	3000178-3500029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	3500029-4000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	4000095-4500004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	4500004-5000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	5000024-5500071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	5500071-6000065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	6000065-6500049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	6500049-7000123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	7000123-7500007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	7500007-8000077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	8000077-8500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	8500000-9000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	9000183-9500063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	9500063-10000093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	10000093-10500164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	10500164-11000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	11000006-11500013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	11500013-12000027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	12000027-12500062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	12500062-13000143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	13000143-13500014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	13500014-14000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	14000035-14500089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	14500089-15000027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	15000027-15500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	15500000-16000206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	16000206-16500021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	16500021-17000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	17000012-17500014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	17500014-18000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	18000011-18500058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1"	18500058-19000031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
