#chrom	coord	total	dtotal	T12	T34	T1234	DFO_left	DFO_right	DFO_total	DFO_stat	DFO_chisq	DFO_Pvalue	DIL_left	DIL_right	DIL_total	DIL_stat	DIL_chisq	DIL_Pvalue	DFI_left	DFI_right	DFI_total	DFI_stat	DFI_chisq	DFI_Pvalue	DOL_left	DOL_right	DOL_total	DOL_stat	DOL_chisq	DOL_Pvalue	introgression	introgna	intrognone	introg13	introg14	introg23	introg24	introg31	introg41	introg32	introg42	introg123	introg124
19	500092	493881	35.0	1.41734547391e-05	1.72106236118e-05	1.56920391754e-05	15.0	6.0	21.0	0.428571428571	3.85714285714	0.0495346134356	14.0	7.0	21.0	0.333333333333	2.33333333333	0.126630457948	6.0	9.0	15.0	-0.2	0.6	0.438578026081	5.0	10.0	15.0	-0.333333333333	1.66666666667	0.196705602459	none	0	1	0	0	0	0	0	0	0	0	0	0
19	1000089	492442	13.0	1.01534800037e-06	1.11688280041e-05	6.09208800224e-06	8.0	4.0	12.0	0.333333333333	1.33333333333	0.24821307899	8.0	4.0	12.0	0.333333333333	1.33333333333	0.24821307899	1.0	0.0	1.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	1500076	492856	42.0	1.01449510608e-05	3.14493482883e-05	2.18116447806e-05	24.0	7.0	31.0	0.548387096774	9.32258064516	0.00226346981204	24.0	7.0	31.0	0.548387096774	9.32258064516	0.00226346981204	9.0	2.0	11.0	0.636363636364	4.45454545455	0.0348084788119	9.0	2.0	11.0	0.636363636364	4.45454545455	0.0348084788119	123	0	0	0	0	0	0	0	0	0	0	1	0
19	2000071	492248	50.0	1.62519705514e-05	3.14881929434e-05	2.38700817474e-05	18.0	15.0	33.0	0.0909090909091	0.272727272727	0.601508134441	20.0	13.0	33.0	0.212121212121	1.48484848485	0.223017469947	10.0	9.0	19.0	0.0526315789474	0.0526315789474	0.818545808382	12.0	7.0	19.0	0.263157894737	1.31578947368	0.25134910881	none	0	1	0	0	0	0	0	0	0	0	0	0
19	2500065	493698	28.0	6.07658933194e-06	2.22808275504e-05	1.62042382185e-05	19.0	3.0	22.0	0.727272727273	11.6363636364	0.000646749122576	19.0	3.0	22.0	0.727272727273	11.6363636364	0.000646749122576	5.0	1.0	6.0	0.666666666667	0	1.0	5.0	1.0	6.0	0.666666666667	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	3000007	493895	12.0	3.03708278075e-06	9.11124834226e-06	6.07416556151e-06	8.0	1.0	9.0	0.777777777778	0	1.0	8.0	1.0	9.0	0.777777777778	0	1.0	1.0	2.0	3.0	-0.333333333333	0	1.0	1.0	2.0	3.0	-0.333333333333	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	3500391	493697	8.0	1.01276694005e-06	7.08936858032e-06	4.05106776018e-06	7.0	0.0	7.0	1.0	0	1.0	7.0	0.0	7.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	4000068	492754	11.0	4.05882042561e-06	5.07352553201e-06	4.56617297881e-06	4.0	2.0	6.0	0.333333333333	0	1.0	5.0	1.0	6.0	0.666666666667	0	1.0	1.0	5.0	6.0	-0.666666666667	0	1.0	2.0	4.0	6.0	-0.333333333333	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	4500012	493004	102.0	4.05676221694e-05	5.57804804829e-05	4.91882418804e-05	26.0	34.0	60.0	-0.133333333333	1.06666666667	0.301699582478	25.0	35.0	60.0	-0.166666666667	1.66666666667	0.196705602459	23.0	20.0	43.0	0.0697674418605	0.209302325581	0.647314784389	22.0	21.0	43.0	0.0232558139535	0.0232558139535	0.878793717959	none	0	1	0	0	0	0	0	0	0	0	0	0
19	5000008	492882	23.0	2.02888318096e-06	1.72455070382e-05	1.06516367001e-05	18.0	3.0	21.0	0.714285714286	10.7142857143	0.00106311491716	17.0	4.0	21.0	0.619047619048	8.04761904762	0.00455634980319	2.0	1.0	3.0	0.333333333333	0	1.0	1.0	2.0	3.0	-0.333333333333	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
19	5500077	492400	28.0	9.1389114541e-06	1.62469536962e-05	1.37083671812e-05	13.0	5.0	18.0	0.444444444444	3.55555555556	0.0593464387919	11.0	7.0	18.0	0.222222222222	0.888888888889	0.345778586151	10.0	2.0	12.0	0.666666666667	5.33333333333	0.0209213353378	8.0	4.0	12.0	0.333333333333	1.33333333333	0.24821307899	none	0	1	0	0	0	0	0	0	0	0	0	0
19	6000075	492333	85.0	3.14827565895e-05	4.77319212809e-05	4.16384845217e-05	40.0	14.0	54.0	0.481481481481	12.5185185185	0.000402938259263	39.0	15.0	54.0	0.444444444444	10.6666666667	0.00109083517613	15.0	21.0	36.0	-0.166666666667	1.0	0.317310507863	14.0	22.0	36.0	-0.222222222222	1.77777777778	0.182422439452	123	0	0	0	0	0	0	0	0	0	0	1	0
19	6500207	492426	49.0	2.13230008164e-05	2.23383818076e-05	2.28460723032e-05	11.0	16.0	27.0	-0.185185185185	0.925925925926	0.335923813152	13.0	14.0	27.0	-0.037037037037	0.037037037037	0.847389659687	12.0	14.0	26.0	-0.0769230769231	0.153846153846	0.694886602372	14.0	12.0	26.0	0.0769230769231	0.153846153846	0.694886602372	none	0	1	0	0	0	0	0	0	0	0	0	0
19	7000023	492639	52.0	3.34930852003e-05	1.82689555638e-05	2.58810203821e-05	8.0	11.0	19.0	-0.157894736842	0.473684210526	0.491297124216	9.0	10.0	19.0	-0.0526315789474	0.0526315789474	0.818545808382	20.0	14.0	34.0	0.176470588235	1.05882352941	0.303483664025	21.0	13.0	34.0	0.235294117647	1.88235294118	0.170066961454	none	0	1	0	0	0	0	0	0	0	0	0	0
19	7500146	492489	52.0	1.42135154288e-05	3.04575330617e-05	2.23355242452e-05	32.0	6.0	38.0	0.684210526316	17.7894736842	2.46744572945e-05	31.0	7.0	38.0	0.631578947368	15.1578947368	9.88839817462e-05	15.0	4.0	19.0	0.578947368421	6.36842105263	0.0116168914342	14.0	5.0	19.0	0.473684210526	4.26315789474	0.038947455742	123	0	0	0	0	0	0	0	0	0	0	1	0
19	8000010	492082	53.0	1.5241362212e-05	3.35309968664e-05	2.54022703533e-05	17.0	19.0	36.0	-0.0555555555556	0.111111111111	0.738882680364	16.0	20.0	36.0	-0.111111111111	0.444444444444	0.504985075094	7.0	11.0	18.0	-0.222222222222	0.888888888889	0.345778586151	6.0	12.0	18.0	-0.333333333333	2.0	0.15729920705	none	0	1	0	0	0	0	0	0	0	0	0	0
19	8500091	492788	82.0	1.82634317394e-05	5.58049303149e-05	3.90634512204e-05	43.0	20.0	63.0	0.365079365079	8.39682539683	0.00375876866575	42.0	21.0	63.0	0.333333333333	7.0	0.0081509715935	14.0	8.0	22.0	0.272727272727	1.63636363636	0.200825122695	13.0	9.0	22.0	0.181818181818	0.727272727273	0.393768634643	123	0	0	0	0	0	0	0	0	0	0	1	0
19	9000026	493035	68.0	2.43390428671e-05	3.65085643007e-05	3.04238035839e-05	28.0	13.0	41.0	0.365853658537	5.48780487805	0.0191495715008	31.0	10.0	41.0	0.512195121951	10.756097561	0.00103936309913	13.0	19.0	32.0	-0.1875	1.125	0.288844366346	16.0	16.0	32.0	0.0	0	1	na	1	0	0	0	0	0	0	0	0	0	0	0
19	9500027	492686	56.0	1.4207832169e-05	3.85641158872e-05	2.94305094929e-05	30.0	12.0	42.0	0.428571428571	7.71428571429	0.00547855324255	28.0	14.0	42.0	0.333333333333	4.66666666667	0.0307535612593	8.0	8.0	16.0	0.0	0	1	6.0	10.0	16.0	-0.25	1.0	0.317310507863	na	1	0	0	0	0	0	0	0	0	0	0	0
19	10000075	492471	73.0	2.33516288269e-05	4.67032576538e-05	3.705801966e-05	33.0	17.0	50.0	0.32	5.12	0.0236516166554	33.0	17.0	50.0	0.32	5.12	0.0236516166554	14.0	11.0	25.0	0.12	0.36	0.5485062355	14.0	11.0	25.0	0.12	0.36	0.5485062355	none	0	1	0	0	0	0	0	0	0	0	0	0
19	10500029	492591	110.0	5.37971664119e-05	4.6691880282e-05	5.43046868497e-05	40.0	14.0	54.0	0.481481481481	12.5185185185	0.000402938259263	36.0	18.0	54.0	0.333333333333	6.0	0.0143058784354	41.0	19.0	60.0	0.366666666667	8.06666666667	0.0045086983649	37.0	23.0	60.0	0.233333333333	3.26666666667	0.070701144866	none	0	1	0	0	0	0	0	0	0	0	0	0
